year,author,author
2011,Carvens Lissaint,1
2011,Charles Hazlewood,1
2011,Charles Hazlewood + British Paraorchestra,1
2011,Charles Limb,1
2011,Charlie Todd,1
2011,Chris Bliss,1
2011,Christoph Adami,1
2011,Cynthia Kenyon,1
2011,Dale Dougherty,1
2011,Dan Ariely,1
2011,Daniel Goldstein,1
2011,Daniel Kraft,1
2011,Daniel Schnitzer,1
2011,Daniel Tammet,1
2011,Daniel Wolpert,1
2011,Danielle de Niese,1
2011,Dave deBronkart,1
2011,David Brooks,1
2011,David Christian,1
2011,David Damberger,1
2011,Deb Roy,1
2011,Dennis Hong,1
2011,Diana Nyad,1
2011,Drew Berry,1
2011,Dyan deNapoli,1
2011,Ed Boyden,1
2011,Edith Widder,1
2011,Edward Tenner,1
2011,Eli Pariser,1
2011,Elizabeth Murchison,1
2011,Elliot Krane,1
2011,Eric Whitacre,1
2011,Erica Frenkel,1
2011,Erik Johansson,1
2011,Eythor Bender,1
2011,Fiorenzo Omenetto,1
2011,Frans de Waal,1
2011,Gabe Zichermann,1
2011,Garth Lenz,1
2011,Gayle Tzemach Lemmon,1
2011,Geoff Mulgan,1
2011,Geoffrey West,1
2011,Graham Hill,1
2011,Greg Gage,1
2011,Handspring Puppet Co.,1
2011,Harald Haas,1
2011,Harvey Fineberg,1
2011,Hasan Elahi,1
2011,Homaro Cantu + Ben Roche,1
2011,Honor Harger,1
2011,Iain McGilchrist,1
2011,Ian Ritchie,1
2011,Improv Everywhere,1
2011,Isabel Behncke,1
2011,JD Schramm,1
2011,JR,1
2011,Jae Rhim Lee,1
2011,Jake Wood,1
2011,Jane Fonda,1
2011,Janet Echelman,1
2011,Janna Levin,1
